primary,usersrated,bayesaverage,average,id,thumbnail
For Sale,19681,7.104839999999999,7.2167699999999995,172,https://cf.geekdo-images.com/thumb/img/F2K71-jsnipHghuOl2dUbnBQlm4=/fit-in/200x150/pic1513085.jpg
Kingdomino,19621,7.23595,7.383260000000001,204583,https://cf.geekdo-images.com/thumb/img/gE7UpZsOyGWZrENKvoEA9ovTVqc=/fit-in/200x150/pic3132685.png
Cards Against Humanity,19361,5.85335,6.0243199999999995,50381,https://cf.geekdo-images.com/thumb/img/RXuwz8i7pH7X7IXnVNeWAGXeHVc=/fit-in/200x150/pic2909692.jpg
Elder Sign,19319,6.85544,7.006069999999999,100423,https://cf.geekdo-images.com/thumb/img/e9PcIA8X_vWLMpk_nv3CZO0q89U=/fit-in/200x150/pic1236119.jpg
Descent: Journeys in the Dark (Second Edition),19259,7.49805,7.7328399999999995,104162,https://cf.geekdo-images.com/thumb/img/YMafq3Rqu5uutkDc95nT_xZZzE8=/fit-in/200x150/pic1180640.jpg
Great Western Trail,19036,8.08135,8.287519999999999,193738,https://cf.geekdo-images.com/thumb/img/ojTMe48mgDcQdcrHJ1d_CSLtc7w=/fit-in/200x150/pic3113247.jpg
Suburbia,18911,7.42687,7.56923,123260,https://cf.geekdo-images.com/thumb/img/ErmY_grQAOtH4zy2Hxg2AIeiAf8=/fit-in/200x150/pic1418335.jpg
T.I.M.E Stories,18882,7.57273,7.76232,146508,https://cf.geekdo-images.com/thumb/img/LKZSyC93AhCvIKSrJH4jLGPqfNY=/fit-in/200x150/pic2617634.png
Colt Express,18801,7.026039999999999,7.164569999999999,158899,https://cf.geekdo-images.com/thumb/img/6188rcXHtB6GG-uhVKycacjIzuQ=/fit-in/200x150/pic2869710.jpg
Castles of Mad King Ludwig,18752,7.46663,7.62447,155426,https://cf.geekdo-images.com/thumb/img/eOGAGUEr07-WE0APc1STPB8veKg=/fit-in/200x150/pic1961827.jpg
Camel Up,18610,6.9360100000000005,7.068410000000001,153938,https://cf.geekdo-images.com/thumb/img/Pbab8HsjkmpO5frSXwMxzhRREwQ=/fit-in/200x150/pic2031446.png
The Lord of the Rings: The Card Game,18067,7.41282,7.638719999999999,77423,https://cf.geekdo-images.com/thumb/img/ja4e2C4N1E9ilfUyAWrIEfsl8ig=/fit-in/200x150/pic906495.jpg
Flash Point: Fire Rescue,17974,7.092039999999999,7.2366600000000005,100901,https://cf.geekdo-images.com/thumb/img/U3IWrvKrFjj-LD1j7QLQgv5afXw=/fit-in/200x150/pic1129370.jpg
Guillotine,17707,6.42185,6.53695,116,https://cf.geekdo-images.com/thumb/img/bpzsKbMbBy1wgNhFZVL4NlSMtII=/fit-in/200x150/pic143139.jpg
"Hey, That's My Fish!",17538,6.63812,6.731660000000001,8203,https://cf.geekdo-images.com/thumb/img/bAd76nW8AfUuThtkpBYQ2zrWrh4=/fit-in/200x150/pic1004115.jpg
Seasons,17507,7.27907,7.44037,108745,https://cf.geekdo-images.com/thumb/img/TC3PSimD_9eYhEhQ-fNzAy6Xdpo=/fit-in/200x150/pic1299390.jpg
No Thanks!,17499,6.935789999999999,7.04489,12942,https://cf.geekdo-images.com/thumb/img/Dw87_NEUCExmeZ8Nxp7So_nR5iY=/fit-in/200x150/pic4657706.jpg
Ra,17440,7.329860000000001,7.47215,12,https://cf.geekdo-images.com/thumb/img/6d0zX3j56NknAus56Wf_WqN7S9s=/fit-in/200x150/pic3013552.jpg
Imperial Settlers,17405,7.312239999999999,7.47871,154203,https://cf.geekdo-images.com/thumb/img/_EY3eEDEy30lvM4QoPnNgtWwKG4=/fit-in/200x150/pic2871265.jpg
Ghost Stories,17350,7.19503,7.352710000000001,37046,https://cf.geekdo-images.com/thumb/img/Zhc1tQmHnjoQEk6H51Th0LOKs7c=/fit-in/200x150/pic1790243.jpg
Viticulture Essential Edition,17369,7.92811,8.14511,183394,https://cf.geekdo-images.com/thumb/img/sD_qvrzIbvfobJj0ZDAaq-TnQPs=/fit-in/200x150/pic2649952.jpg
Village,17337,7.38713,7.54586,104006,https://cf.geekdo-images.com/thumb/img/qavzxzdsA436t0AAKpkeM7Wjq4c=/fit-in/200x150/pic2760568.jpg
Arkham Horror: The Card Game,17292,7.92132,8.2241,205637,https://cf.geekdo-images.com/thumb/img/66qtunbh0lfNhBrynkLruHyfZeY=/fit-in/200x150/pic3122349.jpg
Santorini,17285,7.459389999999999,7.649,194655,https://cf.geekdo-images.com/thumb/img/rQjxEM5tXcxTEpZOP2sWh6lfrKc=/fit-in/200x150/pic3283110.png
Survive: Escape from Atlantis!,17232,7.147639999999999,7.30825,2653,https://cf.geekdo-images.com/thumb/img/rNnnvjF1JSa3JUXJ-wU5Et0Qzho=/fit-in/200x150/pic1300182.png
Twilight Imperium (Third Edition),17215,7.64014,7.87225,12493,https://cf.geekdo-images.com/thumb/img/fED6XRJVDYYOppNNmRfuU1vJr8Q=/fit-in/200x150/pic4128153.jpg
Kingsburg,17178,7.07447,7.2126600000000005,27162,https://cf.geekdo-images.com/thumb/img/ilaoGB057eT40JmfVm0zQ2MFTz8=/fit-in/200x150/pic253057.jpg
Acquire,16947,7.186210000000001,7.353389999999999,5,https://cf.geekdo-images.com/thumb/img/ZODhu5g13HRQEcOgMP8oiRooQQc=/fit-in/200x150/pic3299296.jpg
Legendary: A Marvel Deck Building Game,16941,7.35359,7.604,129437,https://cf.geekdo-images.com/thumb/img/3iHQT7yoRs_1qn-KaF4NR9b1Sp8=/fit-in/200x150/pic1430769.jpg
Clank!: A Deck-Building Adventure,16916,7.61453,7.81797,201808,https://cf.geekdo-images.com/thumb/img/QPAvX8p18R35eh35FPsTVQ-x_NI=/fit-in/200x150/pic4449526.jpg
Through the Ages: A Story of Civilization,16866,7.80047,7.990530000000001,25613,https://cf.geekdo-images.com/thumb/img/dZz-qOBJAE-JIsBt1Fvg4DXKwQ0=/fit-in/200x150/pic236169.jpg
One Night Ultimate Werewolf,16874,7.0380199999999995,7.21662,147949,https://cf.geekdo-images.com/thumb/img/E1Aka3dgRRi0d_yg3LpZi4948iY=/fit-in/200x150/pic1809823.jpg
UNO,16789,5.2839,5.3602,2223,https://cf.geekdo-images.com/thumb/img/Vqkf_w4oaY__07ZiwrpofsIxHNQ=/fit-in/200x150/pic981505.jpg
Kingdom Builder,16659,6.8582,6.98678,107529,https://cf.geekdo-images.com/thumb/img/4rlb3ozPuUFBkziJg-hv2zQD8BU=/fit-in/200x150/pic1152359.jpg
Thurn and Taxis,16663,6.97738,7.10942,21790,https://cf.geekdo-images.com/thumb/img/v9xIcI__rk6ICCg9z9EIUd-R3kg=/fit-in/200x150/pic115300.jpg
Star Wars: Imperial Assault,16506,7.8034,8.080860000000001,164153,https://cf.geekdo-images.com/thumb/img/B7vdjMVow6IMf_Mo41qDJ-huZP4=/fit-in/200x150/pic2247647.jpg
Star Wars: Rebellion,16493,8.163969999999999,8.44788,187645,https://cf.geekdo-images.com/thumb/img/OF1Hi31Kq53difqVp0TiBUySl0w=/fit-in/200x150/pic4325841.jpg
Mansions of Madness: Second Edition,16426,7.8772199999999994,8.15649,205059,https://cf.geekdo-images.com/thumb/img/qsLtD7DnKVi5AZG206MTRah6CUU=/fit-in/200x150/pic3118622.jpg
Apples to Apples,16291,5.7526,5.8595,74,https://cf.geekdo-images.com/thumb/img/SLrCC5Vc1K2qxQ-sw3U4lHk9nQk=/fit-in/200x150/pic213515.jpg
Tikal,16096,7.18548,7.34438,54,https://cf.geekdo-images.com/thumb/img/2b3ZiBEaSuT1HZBzn_sh1CczMtY=/fit-in/200x150/pic3328391.jpg
Tokaido,16019,6.873660000000001,7.036789999999999,123540,https://cf.geekdo-images.com/thumb/img/fhAMbCTDE7LFTOWoLsSnIfgaIEw=/fit-in/200x150/pic3747956.png
Coloretto,15908,6.8444199999999995,6.967960000000001,5782,https://cf.geekdo-images.com/thumb/img/OX0qdJwa3e0l03bT_olk4ymTvso=/fit-in/200x150/pic149765.jpg
Keyflower,15862,7.67298,7.853460000000001,122515,https://cf.geekdo-images.com/thumb/img/-W-BQbgQw5bUQzJ8-Qm7pL5WKiw=/fit-in/200x150/pic2278942.jpg
BANG! The Dice Game,15787,6.8477,6.9904,143741,https://cf.geekdo-images.com/thumb/img/3xvZe7fHZdreM0Zt_eINI0F2V-A=/fit-in/200x150/pic2909713.jpg
Orléans,15781,7.877089999999999,8.08475,164928,https://cf.geekdo-images.com/thumb/img/tUSvchXqRtwRDMxcqfwoRoUlpAE=/fit-in/200x150/pic2578828.png
Dominant Species,15667,7.656910000000001,7.85222,62219,https://cf.geekdo-images.com/thumb/img/30e0HaXojGXIv3Opr__gaqLu2s0=/fit-in/200x150/pic784193.jpg
Through the Ages: A New Story of Civilization,15575,8.25798,8.53503,182028,https://cf.geekdo-images.com/thumb/img/Ohqc2KTYdureA4PNjMqLXP4mUlU=/fit-in/200x150/pic2663291.jpg
Isle of Skye: From Chieftain to King,15520,7.291939999999999,7.458489999999999,176494,https://cf.geekdo-images.com/thumb/img/d2koeZYCEWAwbHJM5vLPLAibB5U=/fit-in/200x150/pic2524838.jpg
6 nimmt!,15398,6.75335,6.88346,432,https://cf.geekdo-images.com/thumb/img/X51KVi_wJEP3x7i65tQUBNOmR3g=/fit-in/200x150/pic2602138.jpg
Cyclades,15335,7.32465,7.52675,54998,https://cf.geekdo-images.com/thumb/img/LzbqfgQxxGqe4OlNM8sxBR8rYd8=/fit-in/200x150/pic584779.jpg
The Voyages of Marco Polo,15334,7.732419999999999,7.94402,171623,https://cf.geekdo-images.com/thumb/img/HMtPzM7OaJwlKQopC5A1NC3cUUI=/fit-in/200x150/pic2461346.png
Spyfall,15195,6.861260000000001,6.9901,166384,https://cf.geekdo-images.com/thumb/img/6TauOkp3QbGx6V2m924QgMBc858=/fit-in/200x150/pic2453926.jpg
Troyes,15053,7.57448,7.762919999999999,73439,https://cf.geekdo-images.com/thumb/img/sM2lpUBjW79Ue2TM9NICXJJdnao=/fit-in/200x150/pic750583.jpg
Clue,14996,5.5631,5.659269999999999,1294,https://cf.geekdo-images.com/thumb/img/7mHlUayEbH9PI6Y4Mq4_2-SM9-Y=/fit-in/200x150/pic884234.jpg
The Pillars of the Earth,14987,7.146260000000001,7.3058,24480,https://cf.geekdo-images.com/thumb/img/l0nri7ec_4VturB33aenq7DZuwc=/fit-in/200x150/pic3691155.jpg
Formula D,14985,6.887010000000001,7.03885,37904,https://cf.geekdo-images.com/thumb/img/9MEeNsk25Fs8njaWd4mCo4MxUF0=/fit-in/200x150/pic519914.jpg
Brass: Lancashire,14942,7.90808,8.12042,28720,https://cf.geekdo-images.com/thumb/img/bY3T4SYX6lAhtfkUGJkC1laqnVw=/fit-in/200x150/pic3469216.jpg
Diamant,14632,6.71364,6.82975,15512,https://cf.geekdo-images.com/thumb/img/-0GtGGGsPNuRWyGAW2-Ja_h18hY=/fit-in/200x150/pic3581963.jpg
Alchemists,14594,7.48412,7.7005300000000005,161970,https://cf.geekdo-images.com/thumb/img/4VjOkEjTXNR4KQMjaOK7JibjPSw=/fit-in/200x150/pic2241156.png
Sagrada,14457,7.37518,7.58254,199561,https://cf.geekdo-images.com/thumb/img/Efxb5We3kIolBOHjvnOffct-w0c=/fit-in/200x150/pic3525224.jpg
Zombie Dice,14369,6.096769999999999,6.21821,62871,https://cf.geekdo-images.com/thumb/img/G-PC-kqCrC-kPqrDZyEG32mkfvM=/fit-in/200x150/pic2664015.jpg
Ingenious,14356,6.99073,7.13903,9674,https://cf.geekdo-images.com/thumb/img/RW8JGYQN3okkJKGua9VL_EtD6fU=/fit-in/200x150/pic3958804.jpg
